Date,02/13/2025,,,,
Race Series,The Digital Cup,,,,
Race #,1,,,,
Map,Vinewood Peak,,,,
Car,Banshee GTS,,,,
Division,1,,,,
Race Position,Discord Name,GTA Online Name,Qualifying Time,Best Lap,Total Time
1,streetdog,-StreetD0G-,06:52.414,02:22.646,47:50.648
2,Questicles,Questicless,06:51.408,02:23.194,48:04.917
3,rell___.,-Sykosa-,DNF,02:23.923,48:36.305
4,Hannes,HansHannes,06:53.587,02:24.297,48:37.384
5,Lama,—Lama—,06:56.977,02:24.716,48:49.982
6,bigmanni16,bigmanni16,DNF,02:24.264,49:04.753
7,AlexHonix,AlexHonix,06:57.115,02:25.704,49:15.541
8,GrizzlyDust7222,GrizzlyDust7222,06:58.459,02:25.438,49:15.888
9,stappen,LANCE_STROLL18,06:57.577,02:25.759,49:17.363
10,Panimioul,Panimioul,06:57.434,02:24.753,49:17.580
11,a.,adam10603,06:59.740,02:26.509,49:22.185
12,CYBERSHARK ,CYBER5HARK,06:58.054,02:25.553,49:34.728
13,Zakariapanther,Zakariapanther,06:58.753,02:26.551,49:35.752
DNF,Tęd,TedReady,06:55.096,DNF,DNF
DNF,kru,Kru---,06:55.871,DNF,DNF
DNF,Hxrry,0vinko,06:57.135,DNF,DNF